ReturnDate,TerritoryKey,ProductKey,ReturnQuantity
42022,9,312,1
42022,10,310,1
42025,8,346,1
42026,4,311,1
42037,6,312,1
42050,1,312,1
42054,9,311,1
42059,8,314,1
42071,8,350,1
42076,9,350,1
42077,4,346,1
42078,9,340,1
42085,4,311,1
42089,10,312,1
42091,9,314,1
42092,9,311,1
42095,8,311,1
42101,9,311,1
42101,9,351,1
42103,9,311,1
42104,9,326,1
42109,9,312,1
42110,9,349,1
42114,9,310,1
42115,9,312,1
42119,4,324,1
42121,1,314,1
42123,6,310,1
42123,9,348,1
42124,8,330,1
42125,4,312,1
42130,9,324,1
42131,9,351,1
42137,1,310,1
42140,6,313,1
42146,9,314,1
42148,8,322,1
42154,1,313,1
42154,4,314,1
42160,4,313,1
42162,4,342,1
42175,9,347,1
42179,9,320,1
42188,4,373,1
42196,8,387,1
42207,8,379,1
42230,6,377,1
42231,1,377,1
42231,8,328,1
42242,4,387,1
42244,4,370,1
42247,10,373,1
42250,9,369,1
42257,1,354,1
42280,1,352,1
42284,9,352,1
42285,10,354,1
42289,9,379,1
42290,9,352,2
42300,9,354,1
42302,8,334,1
42304,6,368,1
42305,8,373,1
42324,8,379,1
42328,8,360,1
42331,9,326,1
42332,1,330,1
42335,10,320,1
42339,10,356,1
42342,4,324,1
42343,6,389,1
42344,10,360,1
42348,9,334,1
42349,9,375,1
42350,8,377,1
42350,9,362,1
42350,9,379,1
42352,9,377,1
42354,4,377,1
42356,4,352,1
42363,8,389,1
42376,9,362,1
42378,8,373,1
42379,9,381,1
42392,4,332,1
42392,9,354,1
42395,9,330,1
42400,4,360,1
42401,1,354,1
42412,9,330,1
42414,4,381,1
42420,9,328,1
42420,9,377,1
42422,8,369,1
42422,9,362,1
42425,9,370,1
42437,9,352,1
42441,1,336,1
42449,9,360,1
42450,6,330,1
42458,9,375,1
42461,8,373,1
42473,8,362,1
42485,1,320,1
42487,4,373,1
42491,1,322,1
42491,9,352,1
42493,9,370,1
42506,9,354,1
42511,4,371,1
42513,8,328,1
42521,4,369,1
42531,4,356,1
42533,10,381,1
42534,4,371,1
42536,4,332,1
42540,1,328,1
42542,10,368,1
42548,9,362,1
42553,9,375,1
42554,9,354,1
42554,9,477,1
42554,9,479,1
42555,9,356,1
42557,10,528,1
42558,10,358,1
42559,8,381,1
42559,9,478,1
42559,9,480,1
42559,9,487,1
42559,10,480,1
42562,4,477,1
42562,8,232,1
42563,4,478,1
42564,4,352,1
42564,9,371,1
42564,9,485,1
42565,4,605,1
42566,1,540,1
42566,4,478,1
42566,10,484,1
42567,1,223,1
42570,4,537,1
42573,1,477,1
42574,9,377,1
42574,10,220,1
42575,10,477,1
42576,9,537,1
42577,9,487,1
42577,9,528,1
42579,8,485,1
42580,8,462,1
42580,9,480,1
42580,9,487,1
42580,10,480,1
42581,8,604,1
42582,4,540,1
42582,9,489,1
42583,4,487,1
42583,9,486,1
42584,4,477,1
42584,6,477,1
42584,9,539,1
42585,6,229,1
42585,6,537,1
42585,6,540,1
42586,1,478,1
42587,4,484,1
42587,4,528,1
42587,6,220,1
42588,8,529,1
42589,6,480,1
42589,9,375,1
42589,9,480,1
42589,10,479,1
42589,10,537,1
42590,1,536,1
42590,10,371,1
42591,9,373,1
42591,9,535,1
42591,9,540,1
42592,9,220,1
42593,4,385,1
42593,6,477,1
42593,9,528,1
42594,1,528,1
42594,4,529,1
42594,4,535,1
42594,6,480,1
42594,8,477,1
42594,10,464,1
42594,10,565,1
42595,1,387,1
42595,4,478,1
42595,4,487,1
42595,6,529,1
42595,10,590,1
42596,6,235,1
42596,8,214,1
42596,8,226,1
42596,8,530,1
42596,10,215,1
42597,1,528,1
42597,1,529,1
42597,1,536,1
42597,6,229,1
42597,6,478,1
42597,8,538,1
42597,10,226,1
42598,4,356,1
42598,4,485,1
42598,6,478,1
42599,4,220,1
42599,9,529,1
42600,1,360,1
42601,4,477,2
42601,8,223,1
42602,4,529,1
